Id;ProductName;CategoryId;CategoryName;AveragePrice
1;Rogale impulsowe 18;15;Słodycze;2.69
2;Znicze, wkłady 219;5;Niespożywcze;4.14
3;Nabiał REG 161;17;Spożywka świeża;1.98
4;Soki i nektary powyżej 0,5 L 309;11;Napoje;2.17
5;Pyzy, kopytka, kluski śląskie mrożone 28;4;Mrożonki;5.69
6;Chleb gatunkowy 460;12;Pieczywo;3.74
8;Batony impulsowe 458;15;Słodycze;2.98
9;Krakersy, talarki 52;16;Słone przekąski;3.22
10;Chipsy duże powyżej 101g 237;16;Słone przekąski;4.72
11;Warzywa, owoce, rośliny REG 112;18;Warzywa & Owoce & Rośliny;7.10
14;Dania gotowe mięsne 9;10;Dania gotowe;18.20
15;Przekąski orzechowe 120;16;Słone przekąski;6.08
16;Jaja 72;17;Spożywka świeża;6.69
17;Naleśniki, racuchy, gofry 19;10;Dania gotowe;4.59
18;Kawa z kawomatu 78;6;Żabka Cafe;5.16
19;Herbata rozpuszczalna 14;2;Artykuły spożywcze;4.03
20;Napoje gazowane typu cola powyżej 1,4 L 20;11;Napoje;4.56
21;Płatki 77;2;Artykuły spożywcze;3.99
22;Produkty rozmrażane nieodpiekane 59;6;Żabka Cafe;1.49
23;Wypieki regionalne REG 53;6;Żabka Cafe;6.50
24;Sery żółte kostka 34;17;Spożywka świeża;9.51
25;Parówki 7;17;Spożywka świeża;3.99
26;Czekolady duże 89;15;Słodycze;5.99
27;Napoje niegazowane do 0,5 L 280;11;Napoje;2.76
28;Piwo specjalne puszka 27;13;Piwo;3.20
29;Kiełbasy suche i świeże 258;17;Spożywka świeża;4.93
30;Akcesoria kosmetyczne 125;5;Niespożywcze;14.99
31;Piwo mocne puszka 47;13;Piwo;2.49
32;Przyprawy sypkie mono 112;2;Artykuły spożywcze;1.70
33;Sosy świata 24;2;Artykuły spożywcze;2.00
34;Warzywa, owoce, rośliny REG 35;18;Warzywa & Owoce & Rośliny;12.44
35;Parówki 66;17;Spożywka świeża;4.13
36;Piwo jasne mainstream puszka 45;13;Piwo;10.57
37;Ciasta pakowane 106;12;Pieczywo;7.99
38;Akcesoria party 134;5;Niespożywcze;2.58
39;Sałatki rybne 31;2;Artykuły spożywcze;7.92
40;Pizza ZC 26;6;Żabka Cafe;3.43
41;Ciastka czekoladowe 174;15;Słodycze;8.99
43;Batony impulsowe 464;15;Słodycze;3.47
44;Pozostałe wędliny luz 182;17;Spożywka świeża;10.53
45;Przyprawy sypkie mix 19;2;Artykuły spożywcze;2.72
47;Napoje izotoniczne powyżej 0,5 L 62;11;Napoje;1.98
48;Woda niegazowana powyżej 1 L 13;11;Napoje;2.07
49;Pieczywo REG 7;12;Pieczywo;1.03
50;Piwo jasne mainstream puszka 22;13;Piwo;2.81
51;Kostki toaletowe 114;5;Niespożywcze;6.99
52;Serek 20;17;Spożywka świeża;2.93
53;Soki i nektary powyżej 0,5 L 113;11;Napoje;5.29
54;Karma dla kota mokra puszki 8;5;Niespożywcze;4.77
55;Jogurty pitne 210;17;Spożywka świeża;2.41
56;Dania gotowe REG 36;10;Dania gotowe;10.52
57;Sosy zimne, dressingi 239;2;Artykuły spożywcze;4.86
58;Herbata mrożona powyżej 1 L 17;11;Napoje;5.34
59;Pozostałe wina 44;20;Wino;11.99
60;Fast food paczkowany 2;10;Dania gotowe;6.67
61;Soki przecierowe do 0,5 L 74;11;Napoje;2.17
64;Wino białe półsłodkie 22;20;Wino;17.99
65;Bułka zwykła 582;12;Pieczywo;2.67
67;Pudding 29;17;Spożywka świeża;1.59
69;Kabanosy 106;17;Spożywka świeża;6.47
70;Czekolady małe 66;15;Słodycze;1.99
71;Napoje mleczne 68;17;Spożywka świeża;6.56
72;Napoje gazowane typu cola 0,6-1,4 L 25;11;Napoje;2.96
73;Płyny do płukania 128;5;Niespożywcze;10.99
74;Mleko UHT 67;17;Spożywka świeża;3.78
75;Galaretki 15;2;Artykuły spożywcze;1.59
76;Niespożywcze REG 35;5;Niespożywcze;2.18
77;Wafle impulsowe 171;15;Słodycze;1.23
78;Dania gotowe instant 83;2;Artykuły spożywcze;2.99
80;Szynka, polędwica, schab luz 44;17;Spożywka świeża;43.18
81;Sosy do podgrzania 132;2;Artykuły spożywcze;4.49
82;Wino czerwone słodkie 41;20;Wino;23.98
83;Chipsy duże powyżej 101g 261;16;Słone przekąski;4.38
84;Gumy rozpuszczalne, balonowe 83;15;Słodycze;2.67
86;Jogurty smakowe małe do 200 g 250;17;Spożywka świeża;2.64
87;Chleb gatunkowy 453;12;Pieczywo;2.52
88;Herbata mrożona do 1 L 22;11;Napoje;3.36
89;Warzywa, owoce, rośliny REG 6;18;Warzywa & Owoce & Rośliny;7.62
90;Chleb gatunkowy 443;12;Pieczywo;3.65
91;Kawa z kawomatu 69;6;Żabka Cafe;3.50
92;Zabawki dla dzieci 643;5;Niespożywcze;10.99
93;Bułka zwykła odpiekana 93;12;Pieczywo;0.99
94;Żelki, żujki, pianki 1;15;Słodycze;4.02
95;Czekolady małe 166;15;Słodycze;3.42
